,Star_name,Distance,Mass,Radius,Gravity
104,2MASSW J0045214+163445,57.0,21955524.0,16647606.0,2.1727872675245442e-05
105,WISEP J004701.06+680352.1 [fr],40.0,11455056.0,1.335919e+16,1.760410467164831e-23
106,2MASS J00501994-3322402 [de],34.0,3818352.0,9659721999999998.0,1.1223380449330635e-23
107,2MASS J00584253-0651239 [de],96.0,27683052.0,1.4695108999999998e+16,3.515971318717638e-23
108,2MASSI J0103320+193536,70.0,4.9638576e+16,1.0070774e+16,1.3423649161325605e-13
109,SDSSp J010752.33+004156.1 [de],51.0,4.9638576e+16,1.0070774e+16,1.3423649161325605e-13
110,2MASSI J0117474-340325 [de],163.0,1909176.0,16647606.0,1.8893802326300385e-06
111,2MASS J01415823-4633574 [de],130.0,1909176.0,16544843.0,1.91292368446984e-06
112,SDSS J015141.69+124429.6,70.0,44865636.0,9968011000000000.0,1.2384366334263515e-22
113,SDSS J020742.48+000056.2 [de],111.0,44865636.0,9968011000000000.0,1.2384366334263515e-22
114,2MASS J02103857-3015313,101.0,1.431882e+16,15722739.0,15886.484308965375
115,2MASS J02340093-6442068,155.0,1909176.0,16647606.0,1.8893802326300385e-06
116,2MASS J02411151-0326587 [de],152.0,25773876.0,1.4489582999999998e+16,3.3670141347991914e-23
117,2MASS J02431371−2453298,35.0,3.1501404000000004e+16,1.0173537e+16,8.34762539143817e-14
118,LP 771-21,53.0,74457864.0,11098404.0,0.00016579311541328588
119,Teegarden's star,12.578,7636704.0,1.3050900999999998e+16,1.229707851079242e-23
120,2MASS J02535980+3206373,184.0,6204822.0,1.9524969999999996e+16,4.4640140770557884e-24
121,WISE J0254+0223,24.0,6204822.0,1.9524969999999996e+16,4.4640140770557884e-24
122,DEN 0255-4700,16.2,7636704.0,9968011000000000.0,2.1079772483852792e-23
123,2MASS J03185403-3421292 [de],45.0,46774812.0,9968011000000000.0,1.2911360646359834e-22
124,2MASS J03205965+1854233,47.0,84003744.0,1.1817745e+16,1.6497053854867904e-22
125,2MASS J03231002-4631237,192.0,21955524.0,17058658.0,2.0693362261908164e-05
126,SDSS J032553.17+042540.1,59.0,4295646.0,9762485000000000.0,1.2361885136462179e-23
127,2MASS J03264225-2102057 [de],80.0,17182584.0,1.335919e+16,2.6406157007472463e-23
128,2MASS J03284265+2302051 [de],98.0,51547752.0,1.0070774e+16,1.3939943359838128e-22
129,2MASS J03341218-4953322,27.0,69684924.0,10687352.0,0.00016733068242582376
130,LP 944-20,20.9,69684924.0,1.4695108999999998e+16,8.850548491944401e-23
131,2MASP J0345432+254023,88.0,70639512.0,10790115.0,0.00016640735678279193
132,Teide 1,380.0,5250234.0,3.884441399999999e+16,9.543298113794586e-25
133,2MASS J03510004-0052452,48.0,9736797600000000.0,1.3050900999999998e+16,1.5678775101260337e-14
134,2MASS J03552337+1133437,29.8,1909176.0,13564716.0,2.84578138344483e-06
135,2MASS J04151954−0935066,18.6,2.863764e+16,9762485000000000.0,8.241256757641453e-14
136,2MASS J04285096-2253227 [de],85.0,7636704.0,1.1201167e+16,1.6693845577019685e-23
137,2MASS J04351612-1606574,34.0,954588.0,1.2948137999999998e+16,1.5616306004391137e-24
138,2MASS J04362788-4114465,142.0,37228932.0,2.0244311e+16,2.4914464404913373e-23
139,2MASS J04390101-2353083 [de],29.5,45820224.0,9968011000000000.0,1.2647863490311676e-22
140,2MASS J04433764+0002040,82.0,21000936.0,1.8291814e+16,1.7214803783504923e-23
141,2MASS J04455387-3048204 [de],42.0,61093632.0,102763.0,1.5867166344045673
142,2MASS J04510093-3402150 [de],69.0,99277152.0,7398935999999999.0,4.973793462398579e-22
143,2MASS J05002100+0330501 [de],44.0,61093632.0,102763.0,1.5867166344045673
144,2MASS J05012406-0010452 [de],64.0,2.0046348e+16,1.4181293999999996e+16,2.7338867657214815e-14
145,2MASS J05160945-0445499 [de],73.0,44865636.0,9968011000000000.0,1.2384366334263515e-22
146,2MASS J0523−1403,40.0,64911984.0,10379063.0,0.00016526678012497331
147,SDSS J053951.99-005902.0,41.62,5.8229868e+16,10379063.0,148254.02334740254
148,LSR 0602+3910 [de],34.6,26728464.0,1.4489582999999998e+16,3.491718362013976e-23
149,2MASS J06085283-2753583,102.0,36274344.0,15517213.0,4.131893345369553e-05
150,2MASS J06244595-4521548 [de],39.0,53456928.0,1.0173537e+16,1.416566733092538e-22
151,2MASS J06411840-4322329 [de],65.0,63957396.0,10379063.0,0.00016283638629960607
152,DENIS-P J0652197-253450 [de],51.0,7159410000000001.0,10790115.0,16865.61048474243
153,2MASS J07075327-4900503,60.0,68730336.0,10584589.0,0.00016825866846122524
154,UGPS J072227.51-054031.2,13.4,2.4819288e+16,1.0070774e+16,6.711824580662802e-14
155,2MASSI J0727182+171001 [de],29.6,39138108.0,9659721999999998.0,1.1503964960563904e-22
156,2MASS J07290002-3954043 [de],25.8,35319756.0,9659721999999998.0,1.038162691563084e-22
157,SDSS J074201.41+205520.5 [de],49.0,41047284.0,9659721999999998.0,1.2065133983030433e-22
158,DENIS-P J0751164-253043 [de],55.0,67775748.0,10584589.0,0.00016592174251037488
159,2MASS J07522390+1612157,60.0,191872188.0,6987883999999999.0,1.0776993793094387e-21
160,DENIS J081730.0-615520,16.1,42001872.0,9659721999999998.0,1.2345718494263702e-22
161,2MASS J08251968+2115521 [de],35.0,4.9638576e+16,1.0070774e+16,1.3423649161325605e-13
162,SDSSp J083008.12+482847.4 [de],43.0,45820224.0,1.0173537e+16,1.2142000569364612e-22
163,LHS 2021,55.0,84003744.0,1.1817745e+16,1.6497053854867904e-22
164,SDSS J083048.80+012831.1 [de],77.0,43911048.0,9865248000000000.0,1.2374702484573383e-22
165,2MASSI J0835425-081923 [de],23.53,59184456.0,102763.0,1.5371317395794246
166,2MASSI J0847287-153237 [de],43.0,61093632.0,102763.0,1.5867166344045673
167,2MASS J08533619-0329321,27.6,73503276.0,10995641.0,0.00016674106478888943
168,2MASSI J0859254-194926 [de],50.0,477294.0,1.0070774e+16,1.290735496281308e-24
169,2MASSI J0937347+293142,20.0,4.0092696e+16,9659721999999998.0,1.178454947179717e-13
170,2MASS 0939−2448,17.4,30546816.0,9762485000000000.0,8.790673874817548e-23
171,2MASS J09490860-1545485 [de],59.0,46774812.0,9865248000000000.0,1.3181748298784692e-22
172,2MASS J10073369-4555147,46.0,42001872.0,9659721999999998.0,1.2345718494263702e-22
173,2MASSI J1010148-040649 [de],55.0,4.8683988e+16,1.0070774e+16,1.316550206206934e-13
174,2MASS J10224821+5825453 [de],60.0,25773876.0,1.4489582999999998e+16,3.3670141347991914e-23
175,2MASSW J1036530-344138 [de],53.0,46774812.0,9968011000000000.0,1.2911360646359834e-22
176,2MASS J1047538+212423 [de],34.4,4.0092696e+16,9659721999999998.0,1.178454947179717e-13
177,DEN 1048-3956,13.15,73503276.0,10995641.0,0.00016674106478888943
178,Luhman 16B,6.516,41047284.0,10481826.0,0.00010246782379282667
179,Luhman 16A,6.516,3818352.0,10379063.0,9.721575301469018e-06
180,DENIS-P J1058.7−1548,49.0,61093632.0,102763.0,1.5867166344045673
181,TWA 28,180.0,34365168.0,24560357.0,1.562521851600233e-05
182,Cha 110913-773444,163.0,7636704.0,1.849734e+16,6.1215919537213244e-24
183,SDSS J111010.01+011613.1,63.0,8591292.0,12742612.0,1.4511708292998328e-05
184,2MASS J11145133−2618235,18.2,3.1501404000000004e+16,9865248000000000.0,8.877503956324385e-14
185,TWA 26,137.0,2.863764e+16,2260786.0,1536721.9470602085
186,2MASS J11544223-3400390 [de],129.0,35319756.0,1541445.0,0.004076980241178403
187,2MASSW J1155395-372735 [de],31.0,61093632.0,102763.0,1.5867166344045673
188,2MASS J12074836-3900043,217.0,16227996.0,17572473.0,1.4413720666656858e-05
189,2MASSI J1217110-031113 [de],36.0,4.0092696e+16,9659721999999998.0,1.178454947179717e-13
190,2M 1237+6526,45.6,39138108.0,9659721999999998.0,1.1503964960563904e-22
191,TWA 29,262.0,1909176.0,2.569075e+16,7.933583172022837e-25
